platform,source_event_id,source_market_id,source_selection_id,player_name,team,sport,stat_type,prop_category,line,over_american_odds,under_american_odds,game_id,game_start_time,status,pulled_at,resolved_stat_key,model_status,season_avg,recent_form,games_played,games_remaining,model_mean,model_sigma,prob_over,prob_under,implied_prob_over,implied_prob_under,implied_prob_includes_field_vig,edge_over,edge_under
draftkings,34118042,334612412.0,0QA334612412#2254559046_13L88808Q1-524828223Q20,Eric Saubert,,NFL,2+ TDs,player_touchdown,,20000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.0,0.0,9.0,,0.0,,4.999838054850042e-13,,0.004975124378109453,,True,-0.004975124377609469,
draftkings,34118042,334612412.0,0QA334612412#2266365116_13L88808Q1-78703209Q20,Brady Russell,,NFL,2+ TDs,player_touchdown,,25000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.0,0.0,10.0,,0.0,,4.999838054850042e-13,,0.00398406374501992,,True,-0.0039840637445199365,
draftkings,34118042,334612412.0,0QA334612412#2271825165_13L88808Q1-355670445Q20,Tanner Arkin,,NFL,2+ TDs,player_touchdown,,25000.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,,no_player_match,,,,,,,,,,,,,
draftkings,34118042,334613199.0,0QA334613199#2151928221_13L88808Q1-1828996474Q20,Rhamondre Stevenson,,NFL,Anytime TD Scorer,player_touchdown,,105.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.6428571428571429,1.7499999999999998,14.0,,1.1964285714285714,,0.6977281713035653,,0.4878048780487805,,True,0.20992329325478487,
draftkings,34118042,334613199.0,0QA334613199#2151928213_13L88808Q1-1714648594Q20,Jadarian Price,,NFL,Anytime TD Scorer,player_touchdown,,130.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,,no_player_match,,,,,,,,,,,,,
draftkings,34118042,334613199.0,0QA334613199#2151928211_13L88808Q11896367839Q20,Jaxon Smith-Njigba,,NFL,Anytime TD Scorer,player_touchdown,,140.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.5882352941176471,0.36,17.0,,0.47411764705882353,,0.37756597927183444,,0.4166666666666667,,True,-0.039100687394832245,
draftkings,34118042,334613199.0,0QA334613199#2169981631_13L88808Q11457589561Q20,A.J. Brown,,NFL,Anytime TD Scorer,player_touchdown,,165.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.4666666666666667,0.36,15.0,,0.41333333333333333,,0.3385582345114958,,0.37735849056603776,,True,-0.03880025605454196,
draftkings,34118042,334613199.0,0QA334613199#2151928217_13L88808Q12121391530Q20,George Holani,,NFL,Anytime TD Scorer,player_touchdown,,185.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.1,0.25,10.0,,0.175,,0.16054297923079264,,0.3508771929824561,,True,-0.19033421375166348,
draftkings,34118042,334613199.0,0QA334613199#2151928215_13L88808Q1-37446320Q20,A.J. Barner,,NFL,Anytime TD Scorer,player_touchdown,,260.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,,no_player_match,,,,,,,,,,,,,
draftkings,34118042,334613199.0,0QA334613199#2151928214_13L88808Q1-1216598181Q20,Cooper Kupp,,NFL,Anytime TD Scorer,player_touchdown,,265.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.125,0.08,16.0,,0.10250000000000001,,0.09742185024707439,,0.273972602739726,,True,-0.17655075249265162,
draftkings,34118042,334613199.0,0QA334613199#2151928223_13L88808Q1-349638135Q20,Romeo Doubs,,NFL,Anytime TD Scorer,player_touchdown,,285.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.375,0.33,16.0,,0.35250000000000004,,0.29707143018928184,,0.2597402597402597,,True,0.03733117044902212,
draftkings,34118042,334613199.0,0QA334613199#2151928224_13L88808Q1-1762786291Q20,Hunter Henry,,NFL,Anytime TD Scorer,player_touchdown,,295.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.4117647058823529,0.45,17.0,,0.4308823529411765,,0.35006463073827776,,0.25316455696202533,,True,0.09690007377625243,
draftkings,34118042,334613199.0,0QA334613199#2151928216_13L88808Q1-1094222466Q20,Rashid Shaheed,,NFL,Anytime TD Scorer,player_touchdown,,330.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.1111111111111111,0.0,18.0,,0.05555555555555555,,0.05404053109323459,,0.23255813953488372,,True,-0.17851760844164913,
draftkings,34118042,334613199.0,0QA334613199#2151928226_13L88808Q1-725127430Q20,Drake Maye,,NFL,Anytime TD Scorer,player_touchdown,,425.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,2.0588235294117645,2.4000000000000004,17.0,,2.2294117647058824,,0.8924082992392952,,0.19047619047619047,,True,0.7019321087631047,
draftkings,34118042,334613199.0,0QA334613199#2151928212_13L88808Q11707072676Q20,Emanuel Wilson,,NFL,Anytime TD Scorer,player_touchdown,,475.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.17647058823529413,0.0,17.0,,0.08823529411764706,,0.08445457107634469,,0.17391304347826086,,True,-0.08945847240191618,
draftkings,34118042,334613199.0,0QA334613199#2151928231_13L88808Q1-2022653256Q20,,SEA Seahawks D/ST,NFL,Anytime TD Scorer,player_touchdown,,550.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,,no_player_match,,,,,,,,,,,,,
draftkings,34118042,334613199.0,0QA334613199#2151928232_14L88808Q11720647838Q20,,NE Patriots D/ST,NFL,Anytime TD Scorer,player_touchdown,,600.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,,no_player_match,,,,,,,,,,,,,
draftkings,34118042,334613199.0,0QA334613199#2265020956_13L88808Q1-1553366467Q20,Corey Kiner,,NFL,Anytime TD Scorer,player_touchdown,,600.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.0,0.0,4.0,,0.0,,9.999994999843054e-07,,0.14285714285714285,,True,-0.14285614285764286,
draftkings,34118042,334613199.0,0QA334613199#2151928219_13L88808Q1-341328697Q20,Elijah Arroyo,,NFL,Anytime TD Scorer,player_touchdown,,700.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.07692307692307693,0.0,13.0,,0.038461538461538464,,0.03773128563674277,,0.125,,True,-0.08726871436325723,
draftkings,34118042,334613199.0,0QA334613199#2151928229_13L88808Q1-205213128Q20,Demario Douglas,,NFL,Anytime TD Scorer,player_touchdown,,700.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.1875,0.0,16.0,,0.09375,,0.08948963861996584,,0.125,,True,-0.03551036138003416,
draftkings,34118042,334613199.0,0QA334613199#2233956178_13L88808Q1-2108815135Q20,Tory Horton,,NFL,Anytime TD Scorer,player_touchdown,,700.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,0.625,0.82,8.0,,0.7224999999999999,,0.5144631048459205,,0.125,,True,0.3894631048459205,
draftkings,34118042,334613199.0,0QA334613199#2151928218_13L88808Q11771646792Q20,Sam Darnold,,NFL,Anytime TD Scorer,player_touchdown,,950.0,,34118042,2026-09-10T00:20:00.0000000Z,,2026-09-09T14:58:03.081222+00:00,passing_tds+rushing_tds+receiving_tds,estimated,1.4705882352941178,0.89,17.0,,1.180294117647059,,0.6928116242091573,,0.09523809523809523,,True,0.5975735289710621,
