flag_id,track,flagged_side,first_flagged_at,first_flagged_model_prob,first_flagged_market_price,first_flagged_edge,consensus_available,consensus_label,consensus_price,consensus_edge,last_seen_at,last_seen_market_price,status,closing_market_price,closing_pulled_at,price_moved,clv_edge_at_close,series_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,forecast_kind,forecast_value_f,lead_days,model_sigma_f,sigma_source
KXHIGHTBOS-26SEP07-B81.5,weather,no,2026-09-09T17:35:00Z,0.9911,0.765,0.2261,False,,,,2026-09-09T17:35:00Z,0.765,open,,,,,KXHIGHTBOS,Boston Maximum Daily Temperature,KBOS,2026-09-07,between,81.0,82.0,max,76.0,0,2.23,literature_placeholder
KXHIGHTBOS-26SEP07-B79.5,weather,no,2026-09-09T17:35:00Z,0.9471,0.395,0.5521,False,,,,2026-09-09T17:35:00Z,0.395,open,,,,,KXHIGHTBOS,Boston Maximum Daily Temperature,KBOS,2026-09-07,between,79.0,80.0,max,76.0,0,2.23,literature_placeholder
KXHIGHTBOS-26SEP07-B75.5,weather,yes,2026-09-09T17:35:00Z,0.173,0.015,0.158,False,,,,2026-09-09T17:35:00Z,0.015,open,,,,,KXHIGHTBOS,Boston Maximum Daily Temperature,KBOS,2026-09-07,between,75.0,76.0,max,76.0,0,2.23,literature_placeholder
KXLOWTCHI-26SEP07-B65.5,weather,no,2026-09-09T17:35:00Z,0.858,0.325,0.533,False,,,,2026-09-09T17:35:00Z,0.325,open,,,,,KXLOWTCHI,Lowest Temperature Chicago,KMDW,2026-09-07,between,65.0,66.0,min,64.0,0,2.23,literature_placeholder
KXLOWTCHI-26SEP07-B61.5,weather,yes,2026-09-09T17:35:00Z,0.0956,0.015,0.0806,False,,,,2026-09-09T17:35:00Z,0.015,open,,,,,KXLOWTCHI,Lowest Temperature Chicago,KMDW,2026-09-07,between,61.0,62.0,min,64.0,0,2.23,literature_placeholder
KXLOWTMIN-26SEP07-T70,weather,yes,2026-09-09T17:35:00Z,0.185,0.005,0.18,False,,,,2026-09-09T17:35:00Z,0.005,open,,,,,KXLOWTMIN,Low  temperature Minnesota,KMSP,2026-09-07,greater,70.0,,min,68.0,0,2.23,literature_placeholder
KXLOWTMIN-26SEP07-B69.5,weather,no,2026-09-09T17:35:00Z,0.858,0.3,0.558,False,,,,2026-09-09T17:35:00Z,0.3,open,,,,,KXLOWTMIN,Low  temperature Minnesota,KMSP,2026-09-07,between,69.0,70.0,min,68.0,0,2.23,literature_placeholder
KXLOWTMIN-26SEP07-B67.5,weather,no,2026-09-09T17:35:00Z,0.827,0.685,0.142,False,,,,2026-09-09T17:35:00Z,0.685,open,,,,,KXLOWTMIN,Low  temperature Minnesota,KMSP,2026-09-07,between,67.0,68.0,min,68.0,0,2.23,literature_placeholder
KXLOWTMIN-26SEP07-B65.5,weather,yes,2026-09-09T17:35:00Z,0.0956,0.015,0.0806,False,,,,2026-09-09T17:35:00Z,0.015,open,,,,,KXLOWTMIN,Low  temperature Minnesota,KMSP,2026-09-07,between,65.0,66.0,min,68.0,0,2.23,literature_placeholder
KXLOWTATL-26SEP07-T75,weather,yes,2026-09-09T17:35:00Z,0.185,0.005,0.18,False,,,,2026-09-09T17:35:00Z,0.005,open,,,,,KXLOWTATL,Low Temperature Atlanta,KATL,2026-09-07,greater,75.0,,min,73.0,0,2.23,literature_placeholder
