series_ticker,market_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,yes_bid,yes_ask,no_bid,no_ask,forecast_kind,forecast_value_f,lead_days,model_sigma_f,sigma_source,model_prob_yes,model_status,pulled_at
KXLOWTDAL,KXLOWTDAL-26SEP07-B78.5,Lowest temperature Dallas,KDFW,2026-09-07,between,78.0,79.0,0.57,0.66,0.34,0.43,min,80.0,0,2.23,literature_placeholder,0.142,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDAL,KXLOWTDAL-26SEP07-B76.5,Lowest temperature Dallas,KDFW,2026-09-07,between,76.0,77.0,0.02,0.05,0.95,0.98,min,80.0,0,2.23,literature_placeholder,0.0529,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDAL,KXLOWTDAL-26SEP07-B74.5,Lowest temperature Dallas,KDFW,2026-09-07,between,74.0,75.0,0.01,0.03,0.97,0.99,min,80.0,0,2.23,literature_placeholder,0.0089,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDC,KXLOWTDC-26SEP07-T67,Lowest Temperature DC ,KDCA,2026-09-07,greater,67.0,,0.0,0.01,0.99,1.0,min,65.0,0,2.23,literature_placeholder,0.185,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDC,KXLOWTDC-26SEP07-T60,Lowest Temperature DC ,KDCA,2026-09-07,less,,60.0,0.0,0.03,0.97,1.0,min,65.0,0,2.23,literature_placeholder,0.0125,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDC,KXLOWTDC-26SEP07-B66.5,Lowest Temperature DC ,KDCA,2026-09-07,between,66.0,67.0,0.0,0.01,0.99,1.0,min,65.0,0,2.23,literature_placeholder,0.142,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDC,KXLOWTDC-26SEP07-B64.5,Lowest Temperature DC ,KDCA,2026-09-07,between,64.0,65.0,0.76,0.93,0.07,0.24,min,65.0,0,2.23,literature_placeholder,0.173,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDC,KXLOWTDC-26SEP07-B62.5,Lowest Temperature DC ,KDCA,2026-09-07,between,62.0,63.0,0.01,0.12,0.88,0.99,min,65.0,0,2.23,literature_placeholder,0.0956,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTDC,KXLOWTDC-26SEP07-B60.5,Lowest Temperature DC ,KDCA,2026-09-07,between,60.0,61.0,0.0,0.03,0.97,1.0,min,65.0,0,2.23,literature_placeholder,0.024,estimated,2026-09-07T09:50:21.371533+00:00
KXLOWTSATX,KXLOWTSATX-26SEP07-T78,Lowest Temperature SATX,KSAT,2026-09-07,greater,78.0,,0.03,0.28,0.72,0.97,min,77.0,0,2.23,literature_placeholder,0.327,estimated,2026-09-07T09:50:21.371533+00:00
