flag_id,track,flagged_side,first_flagged_at,first_flagged_model_prob,first_flagged_market_price,first_flagged_edge,consensus_available,consensus_label,consensus_price,consensus_edge,last_seen_at,last_seen_market_price,status,closing_market_price,closing_pulled_at,price_moved,clv_edge_at_close,platform,source_event_id,source_market_id,source_selection_id,player_name,team,sport,stat_type,prop_category,resolved_stat_key,line,game_id,game_start_time,implied_prob_includes_field_vig,over_american_odds,under_american_odds
draftkings|362382884|0QA362382884#2254729961_13L88808Q1-1895349765Q20,props,over,2026-09-09T22:51:56Z,0.2811,0.079,0.2021,False,,,,2026-09-10T23:16:11Z,0.0786120195999922,open,,,,,draftkings,34118250,362382884.0,0QA362382884#2254729961_13L88808Q1-1895349765Q20,Quinshon Judkins,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,165.0,
draftkings|362382884|0QA362382884#2254729945_13L88808Q11137102484Q20,props,over,2026-09-09T22:51:56Z,0.4566,0.0775,0.3792,False,,,,2026-09-10T23:16:11Z,0.0786120195999922,open,,,,,draftkings,34118250,362382884.0,0QA362382884#2254729945_13L88808Q11137102484Q20,Chris Rodriguez Jr.,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,165.0,
draftkings|362382884|0QA362382884#2254729951_13L88808Q1-849064763Q20,props,over,2026-09-09T22:51:56Z,0.3503,0.0734,0.2769,False,,,,2026-09-10T23:16:11Z,0.0718351213586135,open,,,,,draftkings,34118250,362382884.0,0QA362382884#2254729951_13L88808Q1-849064763Q20,Parker Washington,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,190.0,
draftkings|362382884|0QA362382884#2254729903_13L88808Q1-1192653454Q20,props,over,2026-09-09T22:51:56Z,0.4907,0.0615,0.4292,False,,,,2026-09-10T23:16:11Z,0.0595205291257083,open,,,,,draftkings,34118250,362382884.0,0QA362382884#2254729903_13L88808Q1-1192653454Q20,Trevor Lawrence,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,250.0,
draftkings|362382884|0QA362382884#2254729948_13L88808Q1-992648746Q20,props,over,2026-09-09T22:51:56Z,0.1252,0.0615,0.0637,False,,,,2026-09-10T23:16:11Z,0.0612711329235233,open,,,,,draftkings,34118250,362382884.0,0QA362382884#2254729948_13L88808Q1-992648746Q20,Jakobi Meyers,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,240.0,
draftkings|362382884|0QA362382884#2254729949_13L88808Q1-1393332464Q20,props,over,2026-09-09T22:51:56Z,0.3297,0.0598,0.2699,False,,,,2026-09-10T23:16:11Z,0.0570744799835559,open,,,,,draftkings,34118250,362382884.0,0QA362382884#2254729949_13L88808Q1-1393332464Q20,Brenton Strange,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,265.0,
draftkings|362382884|0QA362382884#2254729947_13L88808Q1-271780635Q20,props,over,2026-09-09T22:51:56Z,0.1539,0.0565,0.0974,False,,,,2026-09-10T23:16:11Z,0.0570744799835559,open,,,,,draftkings,34118250,362382884.0,0QA362382884#2254729947_13L88808Q1-271780635Q20,Brian Thomas Jr.,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,265.0,
draftkings|362382884|0QA362382884#2254729962_13L88808Q1466829631Q20,props,over,2026-09-09T22:51:56Z,0.5247,0.0498,0.4749,False,,,,2026-09-10T23:16:11Z,0.0462937448755509,open,,,,,draftkings,34118250,362382884.0,0QA362382884#2254729962_13L88808Q1466829631Q20,Harold Fannin Jr.,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,350.0,
draftkings|362382884|0QA362382884#2254729963_13L88808Q1526503198Q20,props,over,2026-09-09T22:51:56Z,0.0941,0.038,0.0561,False,,,,2026-09-10T23:16:11Z,0.0362298872939094,open,,,,,draftkings,34118250,362382884.0,0QA362382884#2254729963_13L88808Q1526503198Q20,Jerry Jeudy,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,475.0,
draftkings|362382884|0QA362382884#2254729965_13L88808Q11127564074Q20,props,over,2026-09-09T22:51:56Z,0.1012,0.0262,0.075,False,,,,2026-09-10T23:16:11Z,0.0245084531694093,open,,,,,draftkings,34118250,362382884.0,0QA362382884#2254729965_13L88808Q11127564074Q20,Dylan Sampson,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,750.0,
draftkings|362382884|0QA362382884#2254729950_13L88808Q1-458881524Q20,props,over,2026-09-09T22:51:56Z,0.2184,0.022,0.1964,False,,,,2026-09-10T23:16:11Z,0.0208321851939979,open,,,,,draftkings,34118250,362382884.0,0QA362382884#2254729950_13L88808Q1-458881524Q20,Travis Hunter,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,900.0,
draftkings|362382884|0QA362382884#2254729960_13L88808Q1-286456608Q20,props,over,2026-09-09T22:51:56Z,0.1732,0.01,0.1633,False,,,,2026-09-10T23:16:11Z,0.010964307996841,open,,,,,draftkings,34118250,362382884.0,0QA362382884#2254729960_13L88808Q1-286456608Q20,Raheim Sanders,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,1800.0,
draftkings|362382884|0QA362382884#2254729955_13L88808Q1-1307850565Q20,props,over,2026-09-09T22:51:56Z,0.1978,0.0067,0.1911,False,,,,2026-09-10T23:16:11Z,0.0067200597399993,open,,,,,draftkings,34118250,362382884.0,0QA362382884#2254729955_13L88808Q1-1307850565Q20,Quintin Morris,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,3000.0,
draftkings|362382884|0QA362382884#2254729969_13L88808Q11011846392Q20,props,over,2026-09-09T22:51:56Z,0.0444,0.0067,0.0377,False,,,,2026-09-10T23:16:11Z,0.0067200597399993,open,,,,,draftkings,34118250,362382884.0,0QA362382884#2254729969_13L88808Q11011846392Q20,Tylan Wallace,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,3000.0,
draftkings|363196021|0QA363196021#2258143631_13L88808Q1274701345Q20,props,over,2026-09-09T22:51:56Z,0.1471,0.0665,0.0806,False,,,,2026-09-10T23:16:11Z,0.0619981717921851,open,,,,,draftkings,34118250,363196021.0,0QA363196021#2258143631_13L88808Q1274701345Q20,Trevor Lawrence,,NFL,2+ TDs,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,2200.0,
draftkings|363196021|0QA363196021#2258143640_13L88808Q1-862670716Q20,props,over,2026-09-09T22:51:56Z,0.1711,0.0388,0.1324,False,,,,2026-09-10T23:16:11Z,0.0396099430894515,open,,,,,draftkings,34118250,363196021.0,0QA363196021#2258143640_13L88808Q1-862670716Q20,Harold Fannin Jr.,,NFL,2+ TDs,player_touchdown,rushing_tds+receiving_tds,,34118250,2026-09-13T17:00:00.0000000Z,False,3500.0,
draftkings|362104903|0QA362104903#2253619459_13L88808Q1850190615Q20,props,over,2026-09-09T22:51:56Z,0.1591,0.0884,0.0707,False,,,,2026-09-10T23:16:11Z,0.0883095851017085,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619459_13L88808Q1850190615Q20,Chuba Hubbard,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,125.0,
draftkings|362104903|0QA362104903#2253619460_13L88808Q1-719490824Q20,props,over,2026-09-09T22:51:56Z,0.2924,0.0767,0.2157,False,,,,2026-09-10T23:16:11Z,0.0735913209180904,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619460_13L88808Q1-719490824Q20,Tetairoa McMillan,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,170.0,
draftkings|362104903|0QA362104903#2253619479_13L88808Q12086988331Q20,props,over,2026-09-09T22:51:56Z,0.1744,0.0739,0.1005,False,,,,2026-09-10T23:16:11Z,0.0735913209180904,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619479_13L88808Q12086988331Q20,Luther Burden III,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,170.0,
draftkings|362104903|0QA362104903#2253619478_13L88808Q1-2109230062Q20,props,over,2026-09-09T22:51:56Z,0.4099,0.0689,0.341,False,,,,2026-09-10T23:16:11Z,0.07096305945673,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619478_13L88808Q1-2109230062Q20,Colston Loveland,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,180.0,
draftkings|362104903|0QA362104903#2253619476_13L88808Q1655740791Q20,props,over,2026-09-09T22:51:56Z,0.1368,0.0656,0.0712,False,,,,2026-09-10T23:16:11Z,0.0602110807511649,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619476_13L88808Q1655740791Q20,Kyle Monangai,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,230.0,
draftkings|362104903|0QA362104903#2253619477_13L88808Q1-848465730Q20,props,over,2026-09-09T22:51:56Z,0.2666,0.0645,0.202,False,,,,2026-09-10T23:16:11Z,0.0662321888262814,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619477_13L88808Q1-848465730Q20,Rome Odunze,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,200.0,
draftkings|362104903|0QA362104903#2253619461_13L88808Q1-537154100Q20,props,over,2026-09-09T22:51:56Z,0.3373,0.0496,0.2877,False,,,,2026-09-10T23:16:11Z,0.048462577189962,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619461_13L88808Q1-537154100Q20,Jalen Coker,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,310.0,
draftkings|362104903|0QA362104903#2253619480_13L88808Q11505799344Q20,props,over,2026-09-09T22:51:56Z,0.111,0.0407,0.0703,False,,,,2026-09-10T23:16:11Z,0.0361266484506989,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619480_13L88808Q11505799344Q20,Caleb Williams,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,450.0,
draftkings|362104903|0QA362104903#2253619464_13L88808Q1294436062Q20,props,over,2026-09-09T22:51:56Z,0.4134,0.0387,0.3746,False,,,,2026-09-10T23:16:11Z,0.0361266484506989,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619464_13L88808Q1294436062Q20,Darren Waller,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,450.0,
draftkings|362104903|0QA362104903#2253619468_13L88808Q1-813345382Q20,props,over,2026-09-09T22:51:56Z,0.2147,0.0354,0.1793,False,,,,2026-09-10T23:16:11Z,0.0305687025352068,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619468_13L88808Q1-813345382Q20,Tommy Tremble,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,550.0,
draftkings|362104903|0QA362104903#2253619462_13L88808Q1922326735Q20,props,over,2026-09-09T22:51:56Z,0.0952,0.0339,0.0613,False,,,,2026-09-10T23:16:11Z,0.0331160944131407,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619462_13L88808Q1922326735Q20,Xavier Legette,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,500.0,
draftkings|362104903|0QA362104903#2253619324_13L88808Q1633357284Q20,props,over,2026-09-09T22:51:56Z,0.1248,0.0254,0.0994,False,,,,2026-09-10T23:16:11Z,0.0264928755305125,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619324_13L88808Q1633357284Q20,Kalif Raymond,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,650.0,
draftkings|362104903|0QA362104903#2253619465_13L88808Q11112660000Q20,props,over,2026-09-09T22:51:56Z,0.171,0.0239,0.1471,False,,,,2026-09-10T23:16:11Z,0.0331160944131407,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619465_13L88808Q11112660000Q20,Bryce Young,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,500.0,
draftkings|362104903|0QA362104903#2253619463_13L88808Q1259912862Q20,props,over,2026-09-09T22:51:56Z,0.074,0.0185,0.0556,False,,,,2026-09-10T23:16:11Z,0.0180633242253494,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619463_13L88808Q1259912862Q20,John Metchie III,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,1000.0,
draftkings|362104903|0QA362104903#2253619470_13L88808Q1-619052431Q20,props,over,2026-09-09T22:51:56Z,0.0689,0.0169,0.052,False,,,,2026-09-10T23:16:11Z,0.0198696566478844,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619470_13L88808Q1-619052431Q20,Mitchell Evans,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,900.0,
draftkings|362104903|0QA362104903#2253619481_13L88808Q1-1770507643Q20,props,over,2026-09-09T22:51:56Z,0.357,0.0169,0.3401,False,,,,2026-09-10T23:16:11Z,0.0198696566478844,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619481_13L88808Q1-1770507643Q20,Jahdae Walker,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,900.0,
draftkings|362104903|0QA362104903#2253619467_13L88808Q1-1009547054Q20,props,over,2026-09-09T22:51:56Z,0.1948,0.0156,0.1792,False,,,,2026-09-10T23:16:11Z,0.0152843512676034,open,,,,,draftkings,34118028,362104903.0,0QA362104903#2253619467_13L88808Q1-1009547054Q20,Ja'Tavion Sanders,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,1200.0,
draftkings|363171670|0QA363171670#2258072377_13L88808Q1-244560726Q20,props,over,2026-09-09T22:51:56Z,0.0987,0.0587,0.0399,False,,,,2026-09-10T23:16:11Z,0.0689941839701024,open,,,,,draftkings,34118028,363171670.0,0QA363171670#2258072377_13L88808Q1-244560726Q20,Colston Loveland,,NFL,2+ TDs,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,1400.0,
draftkings|363171670|0QA363171670#2258072363_13L88808Q1131228805Q20,props,over,2026-09-09T22:51:56Z,0.0646,0.0322,0.0324,False,,,,2026-09-10T23:16:11Z,0.0333842825661786,open,,,,,draftkings,34118028,363171670.0,0QA363171670#2258072363_13L88808Q1131228805Q20,Jalen Coker,,NFL,2+ TDs,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,3000.0,
draftkings|363171670|0QA363171670#2258072364_13L88808Q1637812501Q20,props,over,2026-09-09T22:51:56Z,0.1005,0.0196,0.0809,False,,,,2026-09-10T23:16:11Z,0.0202924070500301,open,,,,,draftkings,34118028,363171670.0,0QA363171670#2258072364_13L88808Q1637812501Q20,Darren Waller,,NFL,2+ TDs,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,5000.0,
draftkings|363171670|0QA363171670#2258072386_13L88808Q1-704328598Q20,props,over,2026-09-09T22:51:56Z,0.0731,0.0071,0.066,False,,,,2026-09-10T23:16:11Z,0.0102466609856587,open,,,,,draftkings,34118028,363171670.0,0QA363171670#2258072386_13L88808Q1-704328598Q20,Jahdae Walker,,NFL,2+ TDs,player_touchdown,rushing_tds+receiving_tds,,34118028,2026-09-13T17:00:00.0000000Z,False,10000.0,
draftkings|362350810|0QA362350810#2254581562_13L88808Q1-677035407Q20,props,over,2026-09-09T22:51:56Z,0.5883,0.1142,0.4741,False,,,,2026-09-10T23:16:11Z,0.1176510800563367,open,,,,,draftkings,34118029,362350810.0,0QA362350810#2254581562_13L88808Q1-677035407Q20,Josh Allen,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118029,2026-09-13T17:00:00.0000000Z,False,110.0,
draftkings|362350810|0QA362350810#2254581548_13L88808Q11759839095Q20,props,over,2026-09-09T22:51:56Z,0.3771,0.0944,0.2827,False,,,,2026-09-10T23:16:11Z,0.0932329313653989,open,,,,,draftkings,34118029,362350810.0,0QA362350810#2254581548_13L88808Q11759839095Q20,Nico Collins,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118029,2026-09-13T17:00:00.0000000Z,False,165.0,
draftkings|362350810|0QA362350810#2254581547_13L88808Q11052217445Q20,props,over,2026-09-09T22:51:56Z,0.1945,0.0767,0.1178,False,,,,2026-09-10T23:16:11Z,0.072666843564208,open,,,,,draftkings,34118029,362350810.0,0QA362350810#2254581547_13L88808Q11052217445Q20,Woody Marks,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118029,2026-09-13T17:00:00.0000000Z,False,240.0,
draftkings|362350810|0QA362350810#2254581549_13L88808Q12038958166Q20,props,over,2026-09-09T22:51:56Z,0.2198,0.0614,0.1585,False,,,,2026-09-10T23:16:11Z,0.0574575042135598,open,,,,,draftkings,34118029,362350810.0,0QA362350810#2254581549_13L88808Q12038958166Q20,Dalton Schultz,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118029,2026-09-13T17:00:00.0000000Z,False,330.0,
draftkings|362350810|0QA362350810#2254581564_13L88808Q12079458734Q20,props,over,2026-09-09T22:51:56Z,0.1689,0.0558,0.1131,False,,,,2026-09-10T23:16:11Z,0.0588255400281683,open,,,,,draftkings,34118029,362350810.0,0QA362350810#2254581564_13L88808Q12079458734Q20,Khalil Shakir,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118029,2026-09-13T17:00:00.0000000Z,False,320.0,
draftkings|362350810|0QA362350810#2254581567_13L88808Q1-81077793Q20,props,over,2026-09-09T22:51:56Z,0.2353,0.0558,0.1796,False,,,,2026-09-10T23:16:11Z,0.0602603092971481,open,,,,,draftkings,34118029,362350810.0,0QA362350810#2254581567_13L88808Q1-81077793Q20,Dalton Kincaid,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118029,2026-09-13T17:00:00.0000000Z,False,310.0,
draftkings|362350810|0QA362350810#2258204273_13L88808Q1401138925Q20,props,over,2026-09-09T22:51:56Z,0.2399,0.0522,0.1877,False,,,,2026-09-10T23:16:11Z,0.0537102756778928,open,,,,,draftkings,34118029,362350810.0,0QA362350810#2258204273_13L88808Q1401138925Q20,Kayshon Boutte,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118029,2026-09-13T17:00:00.0000000Z,False,360.0,
draftkings|362350810|0QA362350810#2254581550_13L88808Q1-2078311456Q20,props,over,2026-09-09T22:51:56Z,0.1679,0.0409,0.127,False,,,,2026-09-10T23:16:11Z,0.038010348941278,open,,,,,draftkings,34118029,362350810.0,0QA362350810#2254581550_13L88808Q1-2078311456Q20,Jaylin Noel,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118029,2026-09-13T17:00:00.0000000Z,False,550.0,
draftkings|362350810|0QA362350810#2254581552_13L88808Q1-1444150535Q20,props,over,2026-09-09T22:51:56Z,0.0895,0.0409,0.0486,False,,,,2026-09-10T23:16:11Z,0.0470604320225347,open,,,,,draftkings,34118029,362350810.0,0QA362350810#2254581552_13L88808Q1-1444150535Q20,Xavier Hutchinson,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118029,2026-09-13T17:00:00.0000000Z,False,425.0,
draftkings|362350810|0QA362350810#2254581565_13L88808Q1614963414Q20,props,over,2026-09-09T22:51:56Z,0.2085,0.0409,0.1676,False,,,,2026-09-10T23:16:11Z,0.0411778780197178,open,,,,,draftkings,34118029,362350810.0,0QA362350810#2254581565_13L88808Q1614963414Q20,Ray Davis,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118029,2026-09-13T17:00:00.0000000Z,False,500.0,
draftkings|362350810|0QA362350810#2254581566_13L88808Q1-2072232579Q20,props,over,2026-09-09T22:51:56Z,0.2787,0.0351,0.2436,False,,,,2026-09-10T23:16:11Z,0.0329423024157743,open,,,,,draftkings,34118029,362350810.0,0QA362350810#2254581566_13L88808Q1-2072232579Q20,Keon Coleman,,NFL,Anytime TD Scorer,player_touchdown,rushing_tds+receiving_tds,,34118029,2026-09-13T17:00:00.0000000Z,False,650.0,
