race_id,tier,state,chamber,district,estimate_source,dem_win_prob,rep_win_prob,margin_dem_minus_rep,rating,pulled_at
US-HOUSE-CA-43,US House District,CA,,43,ElectIndex model,1.0,0.0,63.85,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-44,US House District,CA,,44,ElectIndex model,1.0,0.0,59.28,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-45,US House District,CA,,45,ElectIndex model,0.9790000000000001,0.021,20.67,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-46,US House District,CA,,46,ElectIndex model,1.0,0.0,39.78,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-47,US House District,CA,,47,ElectIndex model,0.99,0.01,23.6,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-48,US House District,CA,,48,ElectIndex model,0.833,0.16699999999999998,9.71,Likely D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-49,US House District,CA,,49,ElectIndex model,0.986,0.013999999999999999,22.33,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-50,US House District,CA,,50,ElectIndex model,0.996,0.004,26.6,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-51,US House District,CA,,51,ElectIndex model,0.997,0.003,27.83,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CA-52,US House District,CA,,52,ElectIndex model,1.0,0.0,40.08,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CO-01,US House District,CO,,1,ElectIndex model,1.0,0.0,69.62,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CO-02,US House District,CO,,2,ElectIndex model,1.0,0.0,52.12,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CO-03,US House District,CO,,3,ElectIndex model,0.42100000000000004,0.579,-1.96,Toss-up,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CO-04,US House District,CO,,4,ElectIndex model,0.29600000000000004,0.7040000000000001,-5.36,Lean R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CO-05,US House District,CO,,5,ElectIndex model,0.251,0.7490000000000001,-6.74,Lean R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CO-06,US House District,CO,,6,ElectIndex model,0.9990000000000001,0.001,32.97,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CO-07,US House District,CO,,7,ElectIndex model,0.998,0.002,28.63,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CO-08,US House District,CO,,8,ElectIndex model,0.782,0.218,7.83,Likely D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CT-01,US House District,CT,,1,ElectIndex model,0.9990000000000001,0.001,32.45,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CT-02,US House District,CT,,2,ElectIndex model,0.987,0.013000000000000001,22.75,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CT-03,US House District,CT,,3,ElectIndex model,0.998,0.002,28.77,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CT-04,US House District,CT,,4,ElectIndex model,1.0,0.0,35.23,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-CT-05,US House District,CT,,5,ElectIndex model,0.9279999999999999,0.07200000000000001,14.77,Likely D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-DE-01,US House District,DE,,1,ElectIndex model,0.9990000000000001,0.001,30.85,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-01,US House District,FL,,1,ElectIndex model,0.001,0.9990000000000001,-33.12,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-02,US House District,FL,,2,ElectIndex model,0.162,0.838,-9.93,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-03,US House District,FL,,3,ElectIndex model,0.042,0.958,-17.57,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-04,US House District,FL,,4,ElectIndex model,0.18899999999999997,0.8109999999999999,-8.87,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-05,US House District,FL,,5,ElectIndex model,0.038,0.9620000000000001,-17.99,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-06,US House District,FL,,6,ElectIndex model,0.008,0.992,-24.67,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-07,US House District,FL,,7,ElectIndex model,0.43,0.57,-1.7,Toss-up,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-08,US House District,FL,,8,ElectIndex model,0.161,0.8390000000000001,-9.98,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-09,US House District,FL,,9,ElectIndex model,0.47100000000000003,0.529,-0.65,Toss-up,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-10,US House District,FL,,10,ElectIndex model,1.0,0.0,37.91,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-11,US House District,FL,,11,ElectIndex model,0.21600000000000003,0.784,-7.89,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-12,US House District,FL,,12,ElectIndex model,0.109,0.8909999999999999,-12.45,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-13,US House District,FL,,13,ElectIndex model,0.29600000000000004,0.7040000000000001,-5.37,Lean R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-14,US House District,FL,,14,ElectIndex model,0.72,0.28,5.85,Lean D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-15,US House District,FL,,15,ElectIndex model,0.059000000000000004,0.941,-15.82,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-16,US House District,FL,,16,ElectIndex model,0.33899999999999997,0.6609999999999999,-4.16,Lean R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-17,US House District,FL,,17,ElectIndex model,0.033,0.9670000000000001,-18.63,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-18,US House District,FL,,18,ElectIndex model,0.129,0.871,-11.41,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-19,US House District,FL,,19,ElectIndex model,0.013000000000000001,0.987,-22.59,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-20,US House District,FL,,20,ElectIndex model,1.0,0.0,53.61,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-21,US House District,FL,,21,ElectIndex model,0.076,0.924,-14.46,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-22,US House District,FL,,22,ElectIndex model,0.539,0.461,0.92,Toss-up,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-23,US House District,FL,,23,ElectIndex model,0.9990000000000001,0.001,31.47,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-24,US House District,FL,,24,ElectIndex model,1.0,0.0,54.5,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-25,US House District,FL,,25,ElectIndex model,0.741,0.259,6.5,Lean D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-26,US House District,FL,,26,ElectIndex model,0.142,0.858,-10.8,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-27,US House District,FL,,27,ElectIndex model,0.27699999999999997,0.723,-5.95,Lean R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-FL-28,US House District,FL,,28,ElectIndex model,0.078,0.922,-14.38,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-GA-01,US House District,GA,,1,ElectIndex model,0.19699999999999998,0.8029999999999999,-8.57,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-GA-02,US House District,GA,,2,ElectIndex model,0.991,0.009000000000000001,24.07,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-GA-03,US House District,GA,,3,ElectIndex model,0.002,0.998,-29.14,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-GA-04,US House District,GA,,4,ElectIndex model,1.0,0.0,65.38,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-GA-05,US House District,GA,,5,ElectIndex model,1.0,0.0,83.83,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-GA-06,US House District,GA,,6,ElectIndex model,1.0,0.0,63.13,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-GA-07,US House District,GA,,7,ElectIndex model,0.02,0.98,-20.9,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-GA-08,US House District,GA,,8,ElectIndex model,0.002,0.998,-29.51,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-GA-09,US House District,GA,,9,ElectIndex model,0.001,0.9990000000000001,-30.58,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-GA-10,US House District,GA,,10,ElectIndex model,0.055,0.945,-16.22,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-GA-11,US House District,GA,,11,ElectIndex model,0.044000000000000004,0.956,-17.31,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-GA-12,US House District,GA,,12,ElectIndex model,0.124,0.8759999999999999,-11.65,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-GA-13,US House District,GA,,13,ElectIndex model,1.0,0.0,50.92,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-GA-14,US House District,GA,,14,ElectIndex model,0.016,0.9840000000000001,-21.7,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-HI-01,US House District,HI,,1,ElectIndex model,1.0,0.0,48.16,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-HI-02,US House District,HI,,2,ElectIndex model,1.0,0.0,43.67,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IA-01,US House District,IA,,1,ElectIndex model,0.877,0.12300000000000001,11.67,Likely D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IA-02,US House District,IA,,2,ElectIndex model,0.564,0.436,1.57,Toss-up,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IA-03,US House District,IA,,3,ElectIndex model,0.6809999999999999,0.319,4.7,Lean D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IA-04,US House District,IA,,4,ElectIndex model,0.019,0.981,-21.11,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-ID-01,US House District,ID,,1,ElectIndex model,0.0,1.0,-36.81,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-ID-02,US House District,ID,,2,ElectIndex model,0.002,0.998,-29.79,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-01,US House District,IL,,1,ElectIndex model,1.0,0.0,46.72,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-02,US House District,IL,,2,ElectIndex model,1.0,0.0,45.16,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-03,US House District,IL,,3,ElectIndex model,1.0,0.0,50.66,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-04,US House District,IL,,4,ElectIndex model,1.0,0.0,40.47,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-05,US House District,IL,,5,ElectIndex model,1.0,0.0,48.95,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-06,US House District,IL,,6,ElectIndex model,0.977,0.023,20.35,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-07,US House District,IL,,7,ElectIndex model,1.0,0.0,75.9,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-08,US House District,IL,,8,ElectIndex model,0.972,0.027999999999999997,19.33,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-09,US House District,IL,,9,ElectIndex model,1.0,0.0,47.39,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-10,US House District,IL,,10,ElectIndex model,1.0,0.0,33.55,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-11,US House District,IL,,11,ElectIndex model,0.993,0.006999999999999999,25.04,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-12,US House District,IL,,12,ElectIndex model,0.0,1.0,-41.56,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-13,US House District,IL,,13,ElectIndex model,0.996,0.004,27.04,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-14,US House District,IL,,14,ElectIndex model,0.99,0.01,23.7,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-15,US House District,IL,,15,ElectIndex model,0.0,1.0,-35.31,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-16,US House District,IL,,16,ElectIndex model,0.039,0.961,-17.88,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IL-17,US House District,IL,,17,ElectIndex model,0.9790000000000001,0.021,20.61,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IN-01,US House District,IN,,1,ElectIndex model,0.929,0.071,14.84,Likely D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IN-02,US House District,IN,,2,ElectIndex model,0.006,0.9940000000000001,-25.89,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IN-03,US House District,IN,,3,ElectIndex model,0.002,0.998,-29.92,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IN-04,US House District,IN,,4,ElectIndex model,0.001,0.9990000000000001,-31.15,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IN-05,US House District,IN,,5,ElectIndex model,0.085,0.915,-13.89,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IN-06,US House District,IN,,6,ElectIndex model,0.0,1.0,-34.72,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IN-07,US House District,IN,,7,ElectIndex model,1.0,0.0,48.81,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IN-08,US House District,IN,,8,ElectIndex model,0.0,1.0,-37.6,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-IN-09,US House District,IN,,9,ElectIndex model,0.002,0.998,-29.87,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-KS-01,US House District,KS,,1,ElectIndex model,0.001,0.9990000000000001,-31.38,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-KS-02,US House District,KS,,2,ElectIndex model,0.045,0.955,-17.2,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-KS-03,US House District,KS,,3,ElectIndex model,0.983,0.017,21.57,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-KS-04,US House District,KS,,4,ElectIndex model,0.013000000000000001,0.987,-22.66,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-KY-01,US House District,KY,,1,ElectIndex model,0.0,1.0,-46.05,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-KY-02,US House District,KY,,2,ElectIndex model,0.0,1.0,-43.73,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-KY-03,US House District,KY,,3,ElectIndex model,0.9990000000000001,0.001,33.23,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-KY-04,US House District,KY,,4,ElectIndex model,0.001,0.9990000000000001,-31.09,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-KY-05,US House District,KY,,5,ElectIndex model,0.0,1.0,-61.25,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-KY-06,US House District,KY,,6,ElectIndex model,0.21600000000000003,0.784,-7.91,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-LA-01,US House District,LA,,1,ElectIndex model,0.0,1.0,-46.93,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-LA-02,US House District,LA,,2,ElectIndex model,1.0,0.0,63.34,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-LA-03,US House District,LA,,3,ElectIndex model,0.0,1.0,-36.9,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-LA-04,US House District,LA,,4,ElectIndex model,0.0,1.0,-39.72,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-LA-05,US House District,LA,,5,ElectIndex model,0.003,0.997,-28.44,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-LA-06,US House District,LA,,6,ElectIndex model,0.003,0.997,-27.94,Safe R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MA-01,US House District,MA,,1,ElectIndex model,0.993,0.006999999999999999,24.99,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MA-02,US House District,MA,,2,ElectIndex model,1.0,0.0,34.61,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MA-03,US House District,MA,,3,ElectIndex model,0.9990000000000001,0.001,33.19,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MA-04,US House District,MA,,4,ElectIndex model,0.9990000000000001,0.001,30.67,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MA-05,US House District,MA,,5,ElectIndex model,1.0,0.0,56.29,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MA-06,US House District,MA,,6,ElectIndex model,0.998,0.002,29.43,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MA-07,US House District,MA,,7,ElectIndex model,1.0,0.0,77.08,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MA-08,US House District,MA,,8,ElectIndex model,1.0,0.0,46.4,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MA-09,US House District,MA,,9,ElectIndex model,0.9890000000000001,0.011000000000000001,23.46,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MD-01,US House District,MD,,1,ElectIndex model,0.064,0.9359999999999999,-15.41,Likely R,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MD-02,US House District,MD,,2,ElectIndex model,0.9990000000000001,0.001,31.81,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MD-03,US House District,MD,,3,ElectIndex model,1.0,0.0,35.58,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MD-04,US House District,MD,,4,ElectIndex model,1.0,0.0,87.27,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MD-05,US House District,MD,,5,ElectIndex model,1.0,0.0,40.51,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MD-06,US House District,MD,,6,ElectIndex model,0.975,0.025,19.84,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MD-07,US House District,MD,,7,ElectIndex model,1.0,0.0,72.58,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-MD-08,US House District,MD,,8,ElectIndex model,1.0,0.0,70.06,Safe D,2026-09-07T10:49:29.824588+00:00
US-HOUSE-ME-01,US House District,ME,,1,ElectIndex model,0.9990000000000001,0.001,30.85,Safe D,2026-09-07T10:49:29.824588+00:00
