flag_id,track,flagged_side,first_flagged_at,first_flagged_model_prob,first_flagged_market_price,first_flagged_edge,consensus_available,consensus_label,consensus_price,consensus_edge,last_seen_at,last_seen_market_price,status,closing_market_price,closing_pulled_at,price_moved,clv_edge_at_close,venue,race_id,party,tier,state,chamber,district,candidate_name,hours_to_resolution,electindex_prob,edge_vs_electindex
kalshi|US-HOUSE-CA-03|DEM,politics,dem,2026-09-09T12:06:41Z,0.9856,0.9435,0.0421,True,polymarket,0.945,0.0406,2026-09-26T17:24:35Z,0.9595,open,,,,,kalshi,US-HOUSE-CA-03,DEM,Elections - US House District,CA,,3,Ami Bera,1307.9,0.983,0.0026
polymarket|US-HOUSE-CA-03|DEM,politics,dem,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,True,kalshi,0.9435,0.0427,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-CA-03,DEM,Elections - US House District,CA,,3,Ami Bera,1307.9,0.983,0.0032
polymarket|US-HOUSE-CA-04|DEM,politics,dem,2026-09-09T12:06:41Z,0.9906,0.957,0.0336,False,,,,2026-09-26T17:24:35Z,0.957,open,,,,,polymarket,US-HOUSE-CA-04,DEM,Elections - US House District,CA,,4,Will the Democratic Party win the CA-04 House seat?,1307.9,1.0,-0.0094
polymarket|US-HOUSE-CA-05|REP,politics,rep,2026-09-09T12:06:41Z,0.9881,0.95,0.0381,False,,,,2026-09-26T17:24:35Z,0.95,open,,,,,polymarket,US-HOUSE-CA-05,REP,Elections - US House District,CA,,5,Will the Republican Party win the CA-05 House seat?,1307.9,0.961,0.0271
polymarket|US-HOUSE-CA-06|DEM,politics,dem,2026-09-09T12:06:41Z,0.9877,0.949,0.0387,False,,,,2026-09-26T17:24:35Z,0.949,open,,,,,polymarket,US-HOUSE-CA-06,DEM,Elections - US House District,CA,,6,Will the Democratic Party win the CA-06 House seat?,1307.9,0.898,0.0897
polymarket|US-HOUSE-CA-08|DEM,politics,dem,2026-09-09T12:06:41Z,0.9909,0.958,0.0329,False,,,,2026-09-26T17:24:35Z,0.958,open,,,,,polymarket,US-HOUSE-CA-08,DEM,Elections - US House District,CA,,8,Will the Democratic Party win the CA-08 House seat?,1307.9,1.0,-0.0091
kalshi|US-HOUSE-CA-09|DEM,politics,dem,2026-09-09T12:06:41Z,0.9846,0.941,0.0436,True,polymarket,0.94,0.0446,2026-09-26T17:24:35Z,0.951,open,,,,,kalshi,US-HOUSE-CA-09,DEM,Elections - US House District,CA,,9,Josh Harder,1307.9,0.999,-0.0144
polymarket|US-HOUSE-CA-09|DEM,politics,dem,2026-09-09T12:06:41Z,0.9842,0.94,0.0442,True,kalshi,0.941,0.0432,2026-09-26T17:24:35Z,0.94,open,,,,,polymarket,US-HOUSE-CA-09,DEM,Elections - US House District,CA,,9,Josh Harder,1307.9,0.999,-0.0148
kalshi|US-HOUSE-CA-13|DEM,politics,dem,2026-09-09T12:06:41Z,0.9738,0.9175,0.0563,True,polymarket,0.94,0.0338,2026-09-26T17:24:35Z,0.9245,open,,,,,kalshi,US-HOUSE-CA-13,DEM,Elections - US House District,CA,,13,Adam Gray,1307.9,0.985,-0.0112
polymarket|US-HOUSE-CA-13|DEM,politics,dem,2026-09-09T12:06:41Z,0.9842,0.94,0.0442,True,kalshi,0.9175,0.0667,2026-09-26T17:24:35Z,0.94,open,,,,,polymarket,US-HOUSE-CA-13,DEM,Elections - US House District,CA,,13,Adam Gray,1307.9,0.985,-0.0008
polymarket|US-HOUSE-CA-15|DEM,politics,dem,2026-09-09T12:06:41Z,0.9899,0.955,0.0349,False,,,,2026-09-26T17:24:35Z,0.955,open,,,,,polymarket,US-HOUSE-CA-15,DEM,Elections - US House District,CA,,15,Will the Democratic Party win the CA-15 House seat?,1307.9,1.0,-0.0101
polymarket|US-HOUSE-CA-20|REP,politics,rep,2026-09-09T12:06:41Z,0.9862,0.945,0.0412,False,,,,2026-09-26T17:24:35Z,0.945,open,,,,,polymarket,US-HOUSE-CA-20,REP,Elections - US House District,CA,,20,Will the Republican Party win the CA-20 House seat?,1307.9,0.997,-0.0108
kalshi|US-HOUSE-CA-21|DEM,politics,dem,2026-09-09T12:06:41Z,0.975,0.92,0.055,True,polymarket,0.925,0.05,2026-09-26T17:24:35Z,0.937,open,,,,,kalshi,US-HOUSE-CA-21,DEM,Elections - US House District,CA,,21,Jim Costa,1307.9,0.982,-0.007
polymarket|US-HOUSE-CA-21|DEM,politics,dem,2026-09-09T12:06:41Z,0.9775,0.925,0.0525,True,kalshi,0.92,0.0575,2026-09-26T17:24:35Z,0.925,open,,,,,polymarket,US-HOUSE-CA-21,DEM,Elections - US House District,CA,,21,Jim Costa,1307.9,0.982,-0.0045
kalshi|US-HOUSE-CA-22|DEM,politics,dem,2026-09-09T12:06:41Z,0.9488,0.875,0.0738,True,polymarket,0.875,0.0738,2026-09-26T17:24:35Z,0.8965,open,,,,,kalshi,US-HOUSE-CA-22,DEM,Elections - US House District,CA,,22,Randy Villegas,1307.9,0.7440000000000001,0.2048
polymarket|US-HOUSE-CA-22|DEM,politics,dem,2026-09-09T12:06:41Z,0.9488,0.875,0.0738,True,kalshi,0.875,0.0738,2026-09-26T17:24:35Z,0.875,open,,,,,polymarket,US-HOUSE-CA-22,DEM,Elections - US House District,CA,,22,Randy Villegas,1307.9,0.7440000000000001,0.2048
