resolved_stat_key,n_total,z_lo,z_hi,calibrated_prob,ready_to_apply,fit_date
rbi,798,0.8862752455461305,0.8862752455461305,1.0,True,2026-09-18
rbi,798,0.8880298269505147,0.8880298269505147,1.0,True,2026-09-18
rbi,798,0.8888203577662352,0.8888203577662352,1.0,True,2026-09-18
rbi,798,0.8954710329126101,0.8954710329126101,1.0,True,2026-09-18
rbi,798,0.8962730639323127,0.8962730639323127,1.0,True,2026-09-18
rbi,798,0.9056557665753644,0.9056557665753644,1.0,True,2026-09-18
rbi,798,0.907582087587798,0.907582087587798,1.0,True,2026-09-18
rbi,798,0.9215050746279303,0.9215050746279303,1.0,True,2026-09-18
rbi,798,0.9250319660350215,0.9250319660350215,1.0,True,2026-09-18
rbi,798,0.9302570092550013,0.9302570092550013,1.0,True,2026-09-18
rbi,798,0.9463308501581196,0.9463308501581196,1.0,True,2026-09-18
rbi,798,0.9518568800704088,0.9518568800704088,1.0,True,2026-09-18
rbi,798,0.9548130686453078,0.9548130686453078,1.0,True,2026-09-18
rbi,798,0.9627288684423547,0.9627288684423547,1.0,True,2026-09-18
rbi,798,0.9726787918189075,0.9726787918189075,1.0,True,2026-09-18
rbi,798,0.9758522811171133,0.9758522811171133,1.0,True,2026-09-18
rbi,798,0.9823289268824738,0.9823289268824738,1.0,True,2026-09-18
rbi,798,0.9914314940979239,0.9914314940979239,1.0,True,2026-09-18
rbi,798,0.9937155449006241,0.9937155449006241,1.0,True,2026-09-18
rbi,798,0.9956319628108758,0.9956319628108758,1.0,True,2026-09-18
rbi,798,1.0140537002880592,1.0140537002880592,1.0,True,2026-09-18
rbi,798,1.0688256934226956,1.0688256934226956,1.0,True,2026-09-18
rbi,798,1.0729587046371307,1.0729587046371307,1.0,True,2026-09-18
rbi,798,1.098237316327868,1.098237316327868,1.0,True,2026-09-18
rbi,798,1.099733524984913,1.099733524984913,1.0,True,2026-09-18
rbi,798,1.1017781044065487,1.1017781044065487,1.0,True,2026-09-18
rbi,798,1.165802903153235,1.165802903153235,1.0,True,2026-09-18
rbi,798,1.8515073189919349,1.8515073189919349,1.0,True,2026-09-18
strikeOuts,762,-0.30377162076183595,-0.30377162076183595,0.0,True,2026-09-18
strikeOuts,762,-0.27469734215992503,-0.27469734215992503,0.0,True,2026-09-18
strikeOuts,762,-0.27013328528846614,-0.27013328528846614,0.0,True,2026-09-18
strikeOuts,762,-0.26524339130264707,-0.22491054752026685,0.11764705882352941,True,2026-09-18
strikeOuts,762,-0.22273924024193548,-0.21759097775793634,0.2857142857142857,True,2026-09-18
strikeOuts,762,-0.21712911801296286,-0.15570737243979238,0.2916666666666666,True,2026-09-18
strikeOuts,762,-0.15535985919996165,-0.1522400907415431,0.3333333333333333,True,2026-09-18
strikeOuts,762,-0.15188930268050171,-0.12815493109519593,0.4444444444444444,True,2026-09-18
strikeOuts,762,-0.1281523385841865,0.056727368355495855,0.47183098591549294,True,2026-09-18
strikeOuts,762,0.05824279386433773,0.12781933267251588,0.6060606060606061,True,2026-09-18
strikeOuts,762,0.1375488482590299,0.15129095493466593,0.7142857142857143,True,2026-09-18
strikeOuts,762,0.1574751578446012,0.2548616133572068,0.7364864864864865,True,2026-09-18
strikeOuts,762,0.25560516948462464,0.2676695872505661,0.7894736842105263,True,2026-09-18
strikeOuts,762,0.26833776020794176,0.3505784005683381,0.8,True,2026-09-18
strikeOuts,762,0.3530406995269004,0.45764481052174233,0.8,True,2026-09-18
strikeOuts,762,0.4582066849397961,0.6179169280512724,0.9655172413793104,True,2026-09-18
strikeOuts,762,0.6417124605213758,0.6417124605213758,1.0,True,2026-09-18
strikeOuts,762,0.6580012472986709,0.6580012472986709,1.0,True,2026-09-18
strikeOuts,762,0.6610883400717285,0.6610883400717285,1.0,True,2026-09-18
strikeOuts,762,0.6669102500600275,0.6669102500600275,1.0,True,2026-09-18
strikeOuts,762,0.6679989593976643,0.6679989593976643,1.0,True,2026-09-18
strikeOuts,762,0.6702033803740051,0.6702033803740051,1.0,True,2026-09-18
strikeOuts,762,0.6827833722054493,0.6827833722054493,1.0,True,2026-09-18
strikeOuts,762,0.7355660896573681,0.7355660896573681,1.0,True,2026-09-18
strikeOuts,762,0.7452938844508026,0.7452938844508026,1.0,True,2026-09-18
strikeOuts,762,0.7688386597146746,0.7688386597146746,1.0,True,2026-09-18
strikeOuts,762,0.7694308544450905,0.7694308544450905,1.0,True,2026-09-18
strikeOuts,762,0.7920315154187847,0.7920315154187847,1.0,True,2026-09-18
strikeOuts,762,0.8585824946349021,0.8585824946349021,1.0,True,2026-09-18
strikeOuts,762,0.870772024121834,0.870772024121834,1.0,True,2026-09-18
strikeOuts,762,1.043643102311762,1.043643102311762,1.0,True,2026-09-18
singles,711,-0.4036630431364756,-0.4036630431364756,0.0,False,2026-09-18
singles,711,-0.38456547042005695,-0.38456547042005695,0.0,False,2026-09-18
singles,711,-0.38357619624002837,-0.38357619624002837,0.0,False,2026-09-18
singles,711,-0.3772289168264251,-0.3772289168264251,0.0,False,2026-09-18
singles,711,-0.34125246430630796,-0.34125246430630796,0.0,False,2026-09-18
singles,711,-0.33003905080840923,-0.27425304797361605,0.42857142857142855,False,2026-09-18
singles,711,-0.2736457736173179,-0.12255772543721832,0.46808510638297873,False,2026-09-18
singles,711,-0.12196879638941027,-0.06644053597119637,0.4857142857142858,False,2026-09-18
singles,711,-0.06599691745941527,-0.06533263597521,0.5,False,2026-09-18
