sport,resolved_stat_key,odds_bucket,n,wins,win_rate,breakeven,edge,ci_lo,ci_hi,verdict
FIFA,shotsOnTarget,underdog,132,66,0.5,0.503579757847214,-0.0035797578472139824,0.41591671286450377,0.5840832871354962,inconclusive
NFL,targets,standard,123,61,0.4959349593495935,0.5,-0.004065040650406526,0.4090456448439738,0.5830705063240971,inconclusive
SOCCER,totalShots,goblin,122,71,0.5819672131147541,0.36883859463441004,0.21312861848034403,0.49325026679079315,0.6656796895988267,beats_breakeven
MLB,pitcher fs,standard,111,57,0.5135135135135135,0.5,0.013513513513513487,0.421645284109601,0.6044776539198238,inconclusive
NFL,def_sacks,standard,110,82,0.7454545454545455,0.5,0.24545454545454548,0.6567240561921773,0.8176192418640693,beats_breakeven
MLB,singles,goblin,103,42,0.4077669902912621,0.34464377228541765,0.06312321800584447,0.3178410008099198,0.5043256458894932,inconclusive
MLB,p_strikeOuts,standard,98,53,0.5408163265306123,0.5039825016064217,0.03683382492419063,0.4424786494488038,0.6360747118495262,inconclusive
MLB,plateAppearances,goblin,96,43,0.4479166666666667,0.3065952777321284,0.14132138893453827,0.3523559393364158,0.5474854093599193,beats_breakeven
MLB,triples,demon,93,88,0.946236559139785,0.4716916401768596,0.4745449189629254,0.8802500214822403,0.9768196675770071,beats_breakeven
MLB,p_strikes,standard,90,57,0.6333333333333333,0.5,0.1333333333333333,0.530221128924694,0.7255289861628578,beats_breakeven
SOCCER,shotsOnTarget,demon,90,73,0.8111111111111111,0.4770387748101195,0.3340723363009916,0.7181618666315033,0.8785884019061175,beats_breakeven
NFL,rushing_yards,standard,89,63,0.7078651685393258,0.5,0.2078651685393258,0.6063629876750216,0.7921652582836864,beats_breakeven
MLB,p_baseOnBalls,demon,77,59,0.7662337662337663,0.47463276847017294,0.29160099776359333,0.66045961195063,0.8467050161616292,beats_breakeven
MLB,p_strikeOuts,demon,77,48,0.6233766233766234,0.4757356915801653,0.14764093179645804,0.511725974706673,0.7233015358819349,beats_breakeven
MLB,p_earnedRuns,demon,77,54,0.7012987012987013,0.48051502505679944,0.22078367624190187,0.5915034528407916,0.7919624854879896,beats_breakeven
MLB,p_strikeOuts,goblin,76,41,0.5394736842105263,0.5154059930564202,0.02406769115410612,0.4282242601460333,0.646924534467301,inconclusive
MLB,p_hits,goblin,76,44,0.5789473684210527,0.5102706620376136,0.06867670638343903,0.46678201550241605,0.6835155737242529,inconclusive
SOCCER,totalShots,standard,76,40,0.5263157894736842,0.5,0.02631578947368418,0.4155183265272202,0.6345808698816693,inconclusive
MLB,p_hits,demon,75,47,0.6266666666666667,0.47773075693912964,0.14893590972753706,0.5135475597239507,0.7274419686468587,beats_breakeven
MLB,p_earnedRuns,goblin,74,42,0.5675675675675675,0.5158223712471345,0.05174519632043306,0.45412539093091314,0.6743406221006791,inconclusive
MLB,p_numberOfPitches,standard,74,40,0.5405405405405406,0.5,0.04054054054054057,0.4278114521014676,0.6492681557174879,inconclusive
SOCCER,saves,standard,73,39,0.5342465753424658,0.5026731860097898,0.03157338933267595,0.4209874497239411,0.6440814712771833,inconclusive
MLB,singles,underdog,71,37,0.5211267605633803,0.46665630933569424,0.05447045122768601,0.4068579625004498,0.6332266962989344,inconclusive
MLB,p_outs,demon,70,53,0.7571428571428571,0.473309260738182,0.2838335964046751,0.6450473904731996,0.8424826738807689,beats_breakeven
MLB,p_outs,goblin,67,34,0.5074626865671642,0.4504862113709076,0.05697647519625659,0.3906357091102442,0.6234802905283863,inconclusive
SOCCER,totalGoals+goalAssists,demon,67,55,0.8208955223880597,0.48098692250684616,0.3399085998812136,0.712522863873702,0.8944651205874056,beats_breakeven
MLB,p_baseOnBalls,goblin,66,45,0.6818181818181818,0.576874349190623,0.1049438326275588,0.5621232331830928,0.78151150599814,inconclusive
MLB,plateAppearances,standard,65,36,0.5538461538461539,0.49651589417561354,0.05733025967054034,0.43337604317300876,0.6683066603086071,inconclusive
MLB,pitcher fs,demon,64,44,0.6875,0.47257627642133293,0.21492372357866707,0.5660743364084738,0.7876909049773425,beats_breakeven
NFL,rushing_yards,underdog,60,27,0.45,0.49860406091370557,-0.04860406091370556,0.3309345385376083,0.575082854510185,inconclusive
NFL,def_sacks,underdog,57,24,0.42105263157894735,0.4457816079605821,-0.024728976381634737,0.3018739975305185,0.5502008985931862,inconclusive
MLB,p_hits,standard,57,23,0.40350877192982454,0.5034235540125379,-0.09991478208271337,0.2861732352653998,0.5330294155524615,inconclusive
NFL,rushing_yards+receiving_yards,standard,55,32,0.5818181818181818,0.5,0.08181818181818179,0.4503286833116465,0.7026243295228106,inconclusive
MLB,pitcher fs,goblin,55,16,0.2909090909090909,0.36162617145687853,-0.07071708054778764,0.18771037010850325,0.4214097082034393,inconclusive
MLB,p_earnedRuns,standard,53,30,0.5660377358490566,0.5,0.06603773584905659,0.43265114979768754,0.6904980930103964,inconclusive
SOCCER,goalie fantasy score,standard,51,31,0.6078431372549019,0.5,0.10784313725490191,0.4708491122516505,0.7297285514197229,inconclusive
MLB,p_outs,standard,50,25,0.5,0.4882914452771205,0.011708554722879516,0.36644286412332855,0.6335571358766715,inconclusive
MLB,p_numberOfPitches,demon,47,37,0.7872340425531915,0.4716916401768599,0.31554240237633163,0.6509569794902074,0.8801041987575269,beats_breakeven
SOCCER,totalGoals,demon,45,36,0.8,0.47924053612969725,0.3207594638703028,0.6617674868607056,0.89103995597491,beats_breakeven
MLB,p_battersFaced,standard,42,22,0.5238095238095238,0.5,0.023809523809523836,0.37722213940207044,0.6664063552403505,inconclusive
MLB,numberOfPitchesSeen,demon,41,17,0.4146341463414634,0.4841197005870189,-0.06948555424555553,0.2775633082533015,0.566331646431634,inconclusive
MLB,baseOnBalls,standard,41,28,0.6829268292682927,0.5,0.18292682926829273,0.5301551434425416,0.8043556679468827,beats_breakeven
NFL,rushing_yards+receiving_yards,underdog,40,17,0.425,0.5,-0.07500000000000001,0.2850916852481588,0.5780519956394001,inconclusive
MLB,p_baseOnBalls,standard,40,25,0.625,0.501415417991157,0.12358458200884304,0.4703216005453191,0.7577722646420829,inconclusive
MLB,p_numberOfPitches,goblin,39,17,0.4358974358974359,0.3849159151169963,0.050981520780439604,0.2930452416170466,0.5902457652547789,inconclusive
SOCCER,goalAssists,demon,39,29,0.7435897435897436,0.47895019397766503,0.2646395496120786,0.589180432321585,0.8543137415654781,beats_breakeven
MLB,balls thrown,goblin,39,21,0.5384615384615384,0.3548939799301258,0.18356755853141266,0.38569186821738816,0.6843335276595165,beats_breakeven
MLB,numberOfPitchesSeen,goblin,37,15,0.40540540540540543,0.3470504112777002,0.05835499412770523,0.2634629583994014,0.565143168686707,inconclusive
SOCCER,shotsOnTarget,goblin,32,11,0.34375,0.40242871064267083,-0.05867871064267083,0.2041023335432855,0.5168922649121406,inconclusive
NFL,attempts,standard,31,22,0.7096774193548387,0.5,0.20967741935483875,0.5340734004245933,0.8390437928156712,beats_breakeven
NFL,passing_yards,standard,31,23,0.7419354838709677,0.5,0.24193548387096775,0.567535275722849,0.8629845626313023,beats_breakeven
NFL,passing_yards+rushing_yards,standard,31,22,0.7096774193548387,0.5,0.20967741935483875,0.5340734004245933,0.8390437928156712,beats_breakeven
NFL,passing_tds,standard,30,24,0.8,0.5,0.30000000000000004,0.6269395261897257,0.9049502189759876,beats_breakeven
NFL,passing_interceptions,standard,29,25,0.8620689655172413,0.5,0.3620689655172413,0.6944064228730067,0.9450264914795217,not_enough_evidence
MLB,strikeOuts,underdog,29,14,0.4827586206896552,0.5007277546396104,-0.017969133949955196,0.3138581933079522,0.6556926202943085,not_enough_evidence
NFL,fg_made,standard,27,25,0.9259259259259259,0.5,0.42592592592592593,0.7663002270926939,0.9794457783026164,not_enough_evidence
NFL,kicking points,standard,27,17,0.6296296296296297,0.5,0.12962962962962965,0.442289046234463,0.7846771293206315,not_enough_evidence
NFL,rushing_tds,standard,26,19,0.7307692307692307,0.5,0.23076923076923073,0.5391659658023868,0.8629572447493261,not_enough_evidence
NFL,completions,underdog,25,13,0.52,0.4940668544186132,0.02593314558138682,0.3349821795314731,0.6996899607103999,not_enough_evidence
NFL,passing_yards,underdog,24,14,0.5833333333333334,0.5,0.08333333333333337,0.3883433764938864,0.7553265275346178,not_enough_evidence
SOCCER,shotsOnTarget,standard,22,11,0.5,0.5088701172143026,-0.008870117214302642,0.3072180469247956,0.6927819530752043,not_enough_evidence
NFL,attempts,underdog,21,9,0.42857142857142855,0.4990648089817406,-0.07049338041031206,0.24469699486521046,0.6345378370296754,not_enough_evidence
NFL,kicking points,underdog,20,8,0.4,0.49750198252910327,-0.09750198252910325,0.21880396741419272,0.613422057684794,not_enough_evidence
NFL,receiving_tds,standard,19,13,0.6842105263157895,0.5,0.1842105263157895,0.4601001017506463,0.846358289955714,not_enough_evidence
MLB,runs,goblin,19,9,0.47368421052631576,0.32539874536056895,0.1482854651657468,0.2732950548744854,0.6829251748817489,not_enough_evidence
NFL,fg_made,underdog,18,7,0.3888888888888889,0.5050854803635203,-0.1161965914746314,0.2030499192693116,0.6138133141934383,not_enough_evidence
NFL,passing_tds,underdog,17,9,0.5294117647058824,0.4884006079703352,0.04101115673554717,0.3096289731154949,0.738351988039119,not_enough_evidence
SOCCER,totalGoals+goalAssists,goblin,14,9,0.6428571428571429,0.4163674662651465,0.22648967659199642,0.3876400468214041,0.8365550926279727,not_enough_evidence
MLB,p_battersFaced,goblin,14,6,0.42857142857142855,0.33273493253029296,0.09583649604113559,0.21380509930400526,0.6740973309713064,not_enough_evidence
EPL,saves,standard,13,5,0.38461538461538464,0.5,-0.11538461538461536,0.17709446581236818,0.6447751902773147,not_enough_evidence
SOCCER,saves,demon,11,9,0.8181818181818182,0.476838614690158,0.34134320349166025,0.5230138624217553,0.9486333993289994,not_enough_evidence
SOCCER,saves,goblin,11,7,0.6363636363636364,0.5177402344286053,0.11862340193503107,0.35379677689163724,0.8483377638586862,not_enough_evidence
EPL,tackles,standard,8,3,0.375,0.5,-0.125,0.13684175946152105,0.6942621454161982,not_enough_evidence
MLB,baseOnBalls,goblin,7,3,0.42857142857142855,0.3048574212853417,0.12371400728608684,0.1582169222626268,0.7495457695909742,not_enough_evidence
MLB,p_battersFaced,demon,7,2,0.2857142857142857,0.47977974298347126,-0.19406545726918556,0.08221716570901548,0.6410709098517873,not_enough_evidence
MLB,rbi,standard,7,4,0.5714285714285714,0.5,0.0714285714285714,0.2504542304090258,0.8417830777373732,not_enough_evidence
MLB,strikeOuts,standard,6,3,0.5,0.5047180599705233,-0.004718059970523325,0.1876128068994087,0.8123871931005913,not_enough_evidence
SOCCER,totalGoals,goblin,5,3,0.6,0.4609714842570683,0.13902851574293168,0.23071993220883702,0.8823817688407467,not_enough_evidence
MLB,balls thrown,standard,5,1,0.2,0.5,-0.3,0.036223160969787456,0.6244717358814612,not_enough_evidence
MLB,doubles,underdog,1,1,1.0,0.7035398230088495,0.29646017699115046,0.20654329147389294,1.0,not_enough_evidence
SOCCER,foulsCommitted,standard,1,1,1.0,0.4716916401768597,0.5283083598231403,0.20654329147389294,1.0,not_enough_evidence
