race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
IL-09,house,IL,09,Daniel Biss,John Elleson,DEM,REP,,DEM,47.39,100.0,0.0,Safe D,42.41,5.3,47.39,0.0,0.0,-0.32,37.04,10.35,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,2946675,0,0,262130,0,0,1219420,1426379,2684545,0,0,147064,0,0,205684,0,0,3205,0,0,0,0,0,73.69,26.31,0.0,181352,64740,0,0,246091
IL-10,house,IL,10,Brad Schneider,Carl Lambrecht,DEM,REP,DEM,DEM,33.55,100.0,0.0,Safe D,27.09,5.3,33.55,0.0,1.01,0.15,22.34,11.22,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,3006862,0,0,1699007,0,0,11342,0,2279282,0,0,96126,0,0,1266239,0,0,0,0,0,0,0,0,66.78,33.22,0.0,155919,77574,0,0,233493
IL-11,house,IL,11,Bill Foster,Jeff Walter,DEM,REP,DEM,DEM,25.04,99.3,0.7,Safe D,16.18,5.3,25.04,1.37,2.3,-0.1,11.6,13.44,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,2180937,311439,0,2505288,22765,0,0,0,1226214,288674,0,131182,56740,0,833000,2354,0,0,167592,0,1017995,165085,0,62.52,37.48,0.0,160137,95990,0,0,256126
IL-12,house,IL,12,Julie Fortier,Mike Bost,DEM,REP,REP,REP,-41.56,0.0,100.0,Safe R,-40.21,5.3,-41.56,-1.73,-4.05,-0.87,-44.13,2.57,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,88060,1327225,0,59815,789999,0,0,0,28244,889522,0,42195,39507,0,8293,811237,0,0,0,0,0,0,0,29.22,70.78,0.0,76535,185388,0,0,261922
IL-13,house,IL,13,Nikki Budzinski,Jeff Wilson,DEM,REP,DEM,DEM,27.04,99.6,0.4,Safe D,14.53,5.3,27.04,1.51,6.25,-0.55,10.63,16.42,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,2885018,348237,0,2625565,12241,0,83860,0,2044185,335996,0,107319,9908,0,1174794,5150,0,0,283639,0,0,195600,0,63.52,36.48,0.0,149527,85870,0,0,235397
IL-14,house,IL,14,Lauren Underwood,James Marter,DEM,REP,DEM,DEM,23.7,99.0,1.0,Safe D,10.57,5.3,23.7,1.92,5.77,0.14,5.26,18.43,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,2417082,140848,0,1106564,31898,0,0,0,2365620,112994,0,289569,25185,0,365000,100,0,0,382,0,0,31741,0,61.85,38.15,0.0,146637,90454,0,0,237091
IL-15,house,IL,15,Jennifer Todd,Mary Miller,DEM,REP,REP,REP,-35.31,0.0,100.0,Safe R,-36.49,5.3,-35.31,-1.56,-1.67,-0.9,-40.5,5.19,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,122996,1331399,0,34290,810427,0,1771,3705,82735,1167229,0,55362,754616,0,6710,144500,0,0,100,0,0,1525,0,32.34,67.66,0.0,86649,181247,0,0,267896
IL-16,house,IL,16,Paul Nolley,Darin LaHood,DEM,REP,REP,REP,-17.88,3.9,96.1,Safe R,-19.2,5.3,-17.88,-1.56,-1.67,-0.75,-23.07,5.19,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,415748,3672739,0,230141,6748621,0,0,0,185607,2445401,0,110128,88213,0,63476,1749222,0,1585,0,0,0,0,0,41.06,58.94,0.0,112853,161996,0,0,274849
IL-17,house,IL,17,Eric Sorensen,Dillan Vancil,DEM,REP,DEM,DEM,20.61,97.9,2.1,Safe D,9.43,5.3,20.61,1.39,4.85,-0.36,4.81,15.8,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,2233676,308832,0,1325642,56689,0,0,0,1020828,272464,0,185874,76538,0,848250,10700,0,0,16542,0,0,12700,0,60.3,39.7,0.0,134673,88651,0,0,223324
IN-01,house,IN,01,Frank Mrvan,Barb Regnitz,DEM,REP,DEM,DEM,14.84,92.9,7.1,Likely D,2.9,5.3,14.84,0.0,6.67,-0.03,0.4,14.44,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,2386268,2376256,0,1336696,1800689,0,0,0,1138032,575567,0,179981,18850,0,1023820,39610,0,0,2156925,0,0,2000000,0,57.42,42.58,0.0,131471,97487,0,0,228958
IN-02,house,IN,02,Jamee Decio,Rudy Yakym,DEM,REP,REP,REP,-25.89,0.6,99.4,Safe R,-26.05,5.3,-25.89,-1.93,-2.73,-0.48,-26.92,1.03,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,355589,5246030,0,104496,855313,0,0,0,251093,5000296,0,15296,1170154,0,0,1286014,0,302694,0,0,225039,0,0,37.06,62.94,0.0,77716,132008,0,0,209724
IN-03,house,IN,03,Kelly Thompson,Marlin Stutzman,DEM,REP,REP,REP,-29.92,0.2,99.8,Safe R,-31.69,5.3,-29.92,-1.17,-1.67,-0.69,-31.73,1.81,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,136340,839565,0,6039,101923,0,0,0,130301,786959,0,0,88046,0,0,367700,0,17908,0,0,0,60000,0,35.04,64.96,0.0,78779,146039,0,0,224818
IN-04,house,IN,04,Drew Cox,Jim Baird,DEM,REP,REP,REP,-31.15,0.1,99.9,Safe R,-30.19,5.3,-31.15,-1.09,-4.47,-0.7,-29.88,-1.27,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,20377,358293,0,6863,91561,0,200000,531743,13514,481342,0,9763,68518,0,0,197200,0,500,0,0,500,383899,0,34.43,65.57,0.0,80484,153309,0,0,233792
